Region_name,Region_code,Populatie_merged,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07
Wijk 02 Almere Stad,WK003402,95645,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,10,14,18,21,26,30,32,38,42,46,51,55,58,59,60,60,61,61,62,62,62,63,63,64,64,64,64,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66
Wijk 06 Almere Pampus,WK003406,95645,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,10,14,18,21,26,30,32,38,42,46,51,55,58,59,60,60,61,61,62,62,62,63,63,64,64,64,64,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66
Prins Alexander,WK059914,84906,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,9,11,13,15,18,22,25,29,33,37,40,46,51,55,58,61,63,64,64,65,65,66,66,66,66,67,67,67,67,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,70,70
Hoofddorp,WK039401,68898,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,9,12,14,19,22,25,29,32,39,45,49,54,60,64,65,67,67,68,69,69,69,70,70,71,71,71,72,72,72,72,73,73,73,73,73,73,74,74,74,74,74,74,74,74
Feijenoord,WK059910,67766,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,11,13,15,19,22,25,29,32,35,38,41,43,43,44,45,45,46,46,47,47,48,48,48,49,49,49,49,50,50,50,50,50,50,51,51,51,51,51,51,51,51
Delfshaven,WK059903,67718,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,11,14,18,21,23,28,31,35,40,43,45,46,47,47,48,48,49,49,50,50,50,51,51,51,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53
Charlois,WK059915,60519,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,9,11,13,15,19,21,23,27,30,33,36,40,41,42,43,43,44,44,45,45,45,46,46,47,47,47,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49
IJsselmonde,WK059912,53147,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,8,10,12,14,17,19,22,27,30,32,36,39,42,45,48,49,50,51,51,52,52,53,53,53,54,54,54,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57
Kralingen-Crooswijk,WK059908,49637,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,10,11,13,15,18,22,26,29,33,37,41,46,50,51,52,53,53,54,55,55,56,56,56,57,57,57,57,58,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60
Wijk 03 Almere Buiten,WK003403,49585,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,13,15,21,27,30,32,37,41,45,50,54,57,58,59,60,60,60,61,61,62,62,63,63,63,64,64,64,65,65,65,65,65,66,66,66,66,66,66,66,66,66
